Macroárea,Área de Estudo,Nome,Gênero,Bolsa PQ,Instituição,Estado da Instituição,Região da Instituição
Ciências da Vida,Microbiologia,Alexandre Meneghello Fuentefria,Homem,PQ-1D,UFRGS,RS,Sul
Ciências da Vida,Microbiologia,Allan Jefferson Guimarães,Homem,PQ-C,UFF,RJ,Sudeste
Ciências da Vida,Microbiologia,Alysson Wagner Fernandes Duarte,Homem,PQ-2,UFAL,AL,Nordeste
Ciências da Vida,Microbiologia,Amanda de Souza da Motta,Mulher,PQ-C,UFRGS,RS,Sul
Ciências da Vida,Microbiologia,Ana Beatriz Gorini da Veiga,Mulher,PQ-2,UFCSPA,RS,Sul
Ciências da Vida,Microbiologia,Ana Carolina Gomes Jardim,Mulher,PQ-2,UFU,MG,Sudeste
Ciências da Vida,Microbiologia,Ana Cecília Ribeiro Cruz,Mulher,PQ-B,IEC,PA,Norte
Ciências da Vida,Microbiologia,Ana Luiza de Mattos Guaraldi,Mulher,PQ-1C,UERJ,RJ,Sudeste
Ciências da Vida,Microbiologia,Ana Marcia de Sá Guimarães,Mulher,PQ-2,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Ana Paula D Alincourt Carvalho Assef,Mulher,PQ-C,FIOCRUZ,RJ,Sudeste
Ciências da Vida,Microbiologia,Ana Paula Vieira Colombo,Mulher,PQ-2,UFRJ,RJ,Sudeste
Ciências da Vida,Microbiologia,Anamélia Lorenzetti Bocca,Mulher,PQ-1B,UnB,DF,Centro-Oeste
Ciências da Vida,Microbiologia,Anderson Messias Rodrigues,Homem,PQ-2,UNIFESP,SP,Sudeste
Ciências da Vida,Microbiologia,Andre Correa Amaral,Homem,PQ-2,UFG,GO,Centro-Oeste
Ciências da Vida,Microbiologia,Andre Moraes Nicola,Homem,PQ-2,UnB,DF,Centro-Oeste
Ciências da Vida,Microbiologia,Andrea Regina de Souza Baptista,Mulher,PQ-2,UFF,RJ,Sudeste
Ciências da Vida,Microbiologia,Andreas Karoly Gombert,Homem,PQ-2,UNICAMP,SP,Sudeste
Ciências da Vida,Microbiologia,Andreza Francisco Martins,Mulher,PQ-2,UFRGS,RS,Sul
Ciências da Vida,Microbiologia,André Luis Souza dos Santos,Homem,PQ-1A,UFRJ,RJ,Sudeste
Ciências da Vida,Microbiologia,André Moreni Lopes,Homem,PQ-C,USP,SP,Sudeste
Ciências da Vida,Microbiologia,André Pitondo da Silva,Homem,PQ-C,UNAERP,SP,Sudeste
Ciências da Vida,Microbiologia,André Ricardo de Lima Damásio,Homem,PQ-1C,UNICAMP,SP,Sudeste
Ciências da Vida,Microbiologia,André Rodrigues,Homem,PQ-1D,UNESP,SP,Sudeste
Ciências da Vida,Microbiologia,Angela Faustino Jozala,Mulher,PQ-2,UNISO,SP,Sudeste
Ciências da Vida,Microbiologia,Angela Silva Barbosa,Mulher,PQ-1D,IBU,SP,Sudeste
Ciências da Vida,Microbiologia,Antonio Carlos Rosário Vallinoto,Homem,PQ-1B,UFPA,PA,Norte
Ciências da Vida,Microbiologia,Anuj Kumar,Homem,PQ-C,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Aristóteles Góes Neto,Homem,PQ-1D,UFMG,MG,Sudeste
Ciências da Vida,Microbiologia,Artur Trancoso Lopo de Queiroz,Homem,PQ-C,FIOCRUZ,RJ,Sudeste
Ciências da Vida,Microbiologia,Ayla Sant Ana da Silva,Mulher,PQ-C,INT,RJ,Sudeste
Ciências da Vida,Microbiologia,Benedito Prado Dias Filho,Homem,PQ-1D,UEM,PR,Sul
Ciências da Vida,Microbiologia,Bergmann Morais Ribeiro,Homem,PQ-1B,UnB,DF,Centro-Oeste
Ciências Humanas e Sociais Aplicadas,Arquitetura e Urbanismo,Sylvia Ficher,Mulher,PQ-SR,UnB,DF,Centro-Oeste
Ciências da Vida,Microbiologia,Betania Paiva Drumond,Mulher,PQ-C,UFMG,MG,Sudeste
Ciências da Vida,Microbiologia,Boris Juan Carlos Ugarte Stambuk,Homem,PQ-1C,UFSC,SC,Sul
Ciências da Vida,Microbiologia,Bruno de Araujo Penna,Homem,PQ-C,UFF,RJ,Sudeste
Ciências da Vida,Microbiologia,Camila Malta Romano,Mulher,PQ-2,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Carla Pagliari,Mulher,PQ-C,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Carla Romano Taddei,Mulher,PQ-C,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Carlos Augusto Rosa,Homem,PQ-1A,UFMG,MG,Sudeste
Ciências da Vida,Microbiologia,Carlos Henrique Gomes Martins,Homem,PQ-1C,UFU,MG,Sudeste
Ciências da Vida,Microbiologia,Carlos Pelleschi Taborda,Homem,PQ-1B,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Clarissa Rosa de Almeida Damaso,Mulher,PQ-C,UFRJ,RJ,Sudeste
Ciências da Vida,Microbiologia,Claudete Rodrigues Paula,Mulher,PQ-1C,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Claudia Nunes Duarte dos Santos,Mulher,PQ-1C,FIOCRUZ,RJ,Sudeste
Ciências da Vida,Microbiologia,Clayton Luiz Borges,Homem,PQ-2,UFG,GO,Centro-Oeste
Ciências da Vida,Microbiologia,Cristiane Rodrigues Guzzo Carvalho,Mulher,PQ-2,USP,SP,Sudeste
Ciências da Vida,Microbiologia,Cristiane Yumi Koga Ito,Mulher,PQ-1D,UNESP,SP,Sudeste
Ciências da Vida,Microbiologia,Cristiano Valim Bizarro,Homem,PQ-1D,PUCRS,RS,Sul
